unique_id,business_name,industry,address,city,postal_code,phone,email,website,years_in_business,employee_count,estimated_revenue,revenue_confidence,lead_score,qualification_status,data_sources,created_at,updated_at,business_intelligence_notes,qualification_reasons
37728ecdd2fd,Stoney Creek Graphics Ltd.,printing,"345 Centennial Pkwy N, Stoney Creek, ON L8E 2P5",Stoney Creek,L8E 2P5,(905) 662-9900,,https://360energy.net,22,6,1101312,54.6%,69,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.451516,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 69/100""]",Revenue estimate $1.1M fits target range perfectly; Well established business (22 years); Excellent data completeness (85.7%); High data confidence (73.3%); Target industry: printing; Located in Hamilton area (target market); Hamilton suburb location: Stoney Creek; Optimal team size (6) for acquisition
7c83f1767337,Dundas Print & Graphics Ltd.,printing,"23 King St W, Dundas, ON L9H 1T7",Dundas,L9H 1T7,(905) 627-3800,,https://awardwindows.ca,22,6,1101312,54.6%,69,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.418201,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Dundas: Historic town with strong local business community"", ""[2025-09-05 14:01] business_intelligence: Good mix of residential and commercial opportunities"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 69/100""]",Revenue estimate $1.1M fits target range perfectly; Well established business (22 years); Excellent data completeness (85.7%); High data confidence (73.3%); Target industry: printing; Located in Hamilton area (target market); Hamilton suburb location: Dundas; Optimal team size (6) for acquisition
03645a95eefa,Ancaster Equipment Solutions,equipment_rental,"456 Wilson St W, Ancaster, ON L9G 2B2",Ancaster,L9G 2B2,(905) 648-2200,,https://campbellglass.ca,18,8,1097713,63.0%,67,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.594949,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Ancaster: Affluent area with higher-end service demand"", ""[2025-09-05 14:01] business_intelligence: Good access to both Hamilton and Burlington markets"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 67/100""]",Revenue estimate $1.1M fits target range perfectly; Meets minimum age requirement (18 years); Excellent data completeness (85.7%); High data confidence (76.6%); Target industry: equipment_rental; Located in Hamilton area (target market); Hamilton suburb location: Ancaster; Optimal team size (8) for acquisition
11be8ab75427,Hamilton Equipment Solutions,equipment_rental,"234 Barton St W, Hamilton, ON L8L 1C2",Hamilton,L8L 1C2,(905) 540-3300,,https://burnsenergy.ca,18,8,1097713,63.0%,67,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.560695,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-05 14:01] business_intelligence: Growing tech and innovation sector"", ""[2025-09-05 14:01] business_intelligence: Strategic location for North American trade"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 67/100""]",Revenue estimate $1.1M fits target range perfectly; Meets minimum age requirement (18 years); Excellent data completeness (85.7%); High data confidence (76.6%); Target industry: equipment_rental; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (8) for acquisition
47400a7f0c15,Stoney Creek Consulting Ltd.,professional_services,"234 Queenston Rd, Stoney Creek, ON L8E 2A3",Stoney Creek,L8E 2A3,(905) 662-4400,,https://awardwindows.ca,22,6,1245884,51.3%,67,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.527681,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 67/100""]",Revenue estimate $1.2M fits target range perfectly; Well established business (22 years); Excellent data completeness (85.7%); High data confidence (71.9%); Target industry: professional_services; Located in Hamilton area (target market); Hamilton suburb location: Stoney Creek; Optimal team size (6) for acquisition
1e38261520a5,A.H. Burns Energy Systems Ltd.,professional_services,"562 Main St. East, Hamilton, ON L8M 1J2",Hamilton,L8M 1J2,(905) 525-6321,,https://burnsenergy.ca,22,9,1407042,51.3%,67,Qualified,hamilton_chamber,2025-09-05 14:01:16,2025-09-05 14:01:16.490522,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.HAMILTON_CHAMBER"", ""[2025-09-05 14:01] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-05 14:01] business_intelligence: Growing tech and innovation sector"", ""[2025-09-05 14:01] business_intelligence: Strategic location for North American trade"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] business_intelligence: Professional services team size ideal for personal service delivery"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 67/100""]",Revenue estimate $1.4M fits target range perfectly; Well established business (22 years); Excellent data completeness (85.7%); High data confidence (71.9%); Target industry: professional_services; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (9) for acquisition
09fde5f15fd2,Stoney Creek Rentals Ltd.,equipment_rental,"567 Centennial Pkwy S, Stoney Creek, ON L8E 1M3",Stoney Creek,L8E 1M3,(905) 662-5500,,https://awardwindows.ca,22,6,994757,49.5%,67,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.629901,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 67/100""]",Revenue estimate $1.0M fits target range perfectly; Well established business (22 years); Excellent data completeness (85.7%); High data confidence (71.2%); Target industry: equipment_rental; Located in Hamilton area (target market); Hamilton suburb location: Stoney Creek; Optimal team size (6) for acquisition
5ca5a06bb908,Hamilton Distribution Centre,wholesale,"345 Kenilworth Ave S, Hamilton, ON L8H 6P4",Hamilton,L8H 6P4,(905) 547-2200,,https://www.fox40world.com,16,6,1479241,56.2%,64,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.700258,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Hamilton's strategic location ideal for distribution"", ""[2025-09-05 14:01] business_intelligence: Lower warehouse costs than GTA"", ""[2025-09-05 14:01] business_intelligence: Good transportation infrastructure"", ""[2025-09-05 14:01] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-05 14:01] business_intelligence: Growing tech and innovation sector"", ""[2025-09-05 14:01] business_intelligence: Strategic location for North American trade"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 64/100""]",Revenue estimate $1.5M fits target range perfectly; Meets minimum age requirement (16 years); Excellent data completeness (85.7%); High data confidence (73.9%); Target industry: wholesale; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (6) for acquisition
ae878e0c91fc,Ancaster Wholesale Supply,wholesale,"890 Wilson St E, Ancaster, ON L9G 4V5",Ancaster,L9G 4V5,(905) 648-9900,,https://flamboromachineshop.ca,16,6,1479241,56.2%,64,Qualified,verified_database,2025-09-05 14:01:16,2025-09-05 14:01:16.663283,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.VERIFIED_DATABASE"", ""[2025-09-05 14:01] business_intelligence: Hamilton's strategic location ideal for distribution"", ""[2025-09-05 14:01] business_intelligence: Lower warehouse costs than GTA"", ""[2025-09-05 14:01] business_intelligence: Good transportation infrastructure"", ""[2025-09-05 14:01] business_intelligence: Ancaster: Affluent area with higher-end service demand"", ""[2025-09-05 14:01] business_intelligence: Good access to both Hamilton and Burlington markets"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 64/100""]",Revenue estimate $1.5M fits target range perfectly; Meets minimum age requirement (16 years); Excellent data completeness (85.7%); High data confidence (73.9%); Target industry: wholesale; Located in Hamilton area (target market); Hamilton suburb location: Ancaster; Optimal team size (6) for acquisition
eb22c4fef4f0,Hamilton Print Shop,printing,"123 James St N, Hamilton, ON L8R 2K7",Hamilton,L8R 2K7,(905) 525-4444,,https://burnsenergy.ca,17,6,989470,52.9%,63,Qualified,google_business,2025-09-05 14:01:16,2025-09-05 14:01:16.807686,"[""[2025-09-05 14:01] discovery: Discovered via DataSource.GOOGLE_BUSINESS"", ""[2025-09-05 14:01] business_intelligence: Hamilton market offers cost advantages over Toronto"", ""[2025-09-05 14:01] business_intelligence: Growing tech and innovation sector"", ""[2025-09-05 14:01] business_intelligence: Strategic location for North American trade"", ""[2025-09-05 14:01] business_intelligence: Small team size suggests owner-managed operation"", ""[2025-09-05 14:01] enrichment_service: Data enrichment completed"", ""[2025-09-05 14:01] scoring_service: QUALIFIED with score 63/100""]",Revenue estimate $1.0M fits target range perfectly; Meets minimum age requirement (17 years); Excellent data completeness (85.7%); High data confidence (72.6%); Target industry: printing; Located in Hamilton area (target market); Central Hamilton location; Optimal team size (6) for acquisition
